MeSH Disease ID	MeSH Disease Term
D006832	Hydranencephaly
D006833	Hydrarthrosis
D006837	Hydroa Vacciniforme
D006849	Hydrocephalus
D006850	Hydrocephalus, Normal Pressure
D006869	Hydronephrosis
D006871	Hydrophthalmos
D006872	Hydropneumothorax
D015160	Hydrops Fetalis
D006876	Hydrothorax
D006925	Hymenolepiasis
D053306	Hyper-IgM Immunodeficiency Syndrome
D053307	Hyper-IgM Immunodeficiency Syndrome, Type 1
D012001	Hyperacusis
D006929	Hyperaldosteronism
D006930	Hyperalgesia
D022124	Hyperammonemia
D034321	Hyperamylasemia
D017588	Hyperandrogenism
D020162	Hyperargininemia
D006932	Hyperbilirubinemia
D006933	Hyperbilirubinemia, Hereditary
D051556	Hyperbilirubinemia, Neonatal
D006934	Hypercalcemia
D006936	Hypercementosis
D006937	Hypercholesterolemia
D006939	Hyperemesis Gravidarum
D006940	Hyperemia
D017681	Hypereosinophilic Syndrome
D006941	Hyperesthesia
D006942	Hypergammaglobulinemia
D006943	Hyperglycemia
D006944	Hyperglycemic Hyperosmolar Nonketotic Coma
D020158	Hyperglycinemia, Nonketotic
D006945	Hyperhidrosis
D020138	Hyperhomocysteinemia
D006946	Hyperinsulinism
D006947	Hyperkalemia
D017488	Hyperkeratosis, Epidermolytic
D006948	Hyperkinesis
D006950	Hyperlipidemia, Familial Combined
D006949	Hyperlipidemias
D008072	Hyperlipoproteinemia Type I
D006938	Hyperlipoproteinemia Type II
D006952	Hyperlipoproteinemia Type III
D006953	Hyperlipoproteinemia Type IV
D006954	Hyperlipoproteinemia Type V
D006951	Hyperlipoproteinemias
D020167	Hyperlysinemias
D006955	Hypernatremia
D006956	Hyperopia
D015576	Hyperostosis
D006957	Hyperostosis Frontalis Interna
D006958	Hyperostosis, Cortical, Congenital
D004057	Hyperostosis, Diffuse Idiopathic Skeletal
D015218	Hyperostosis, Sternocostoclavicular
D006959	Hyperoxaluria
D006960	Hyperoxaluria, Primary
D006961	Hyperparathyroidism
D049950	Hyperparathyroidism, Primary
D006962	Hyperparathyroidism, Secondary
D054559	Hyperphosphatemia
D017495	Hyperpigmentation
D006964	Hyperpituitarism
D006965	Hyperplasia
D006966	Hyperprolactinemia
D006967	Hypersensitivity
D006968	Hypersensitivity, Delayed
D006969	Hypersensitivity, Immediate
D020177	Hypersomnolence, Idiopathic
D006971	Hypersplenism
D006972	Hypertelorism
D006973	Hypertension
D006974	Hypertension, Malignant
D006975	Hypertension, Portal
D046110	Hypertension, Pregnancy-Induced
D006976	Hypertension, Pulmonary
D006977	Hypertension, Renal
D006978	Hypertension, Renovascular
D020343	Hypertensive Encephalopathy
D006980	Hyperthyroidism
D006981	Hyperthyroxinemia
D006983	Hypertrichosis
D015228	Hypertriglyceridemia
D006984	Hypertrophy
D017379	Hypertrophy, Left Ventricular
D017380	Hypertrophy, Right Ventricular
D033461	Hyperuricemia
D006985	Hyperventilation
D006986	Hypervitaminosis A
D006987	Hypesthesia
D006988	Hyphema
D034141	Hypoalbuminemia
D006994	Hypoaldosteronism
D052456	Hypoalphalipoproteinemias
D052476	Hypobetalipoproteinemia, Familial, Apolipoprotein B
D006995	Hypobetalipoproteinemias
D006996	Hypocalcemia
D006998	Hypochondriasis
D007000	Hypodermyiasis
D020437	Hypoglossal Nerve Diseases
D007003	Hypoglycemia
D007006	Hypogonadism
D007007	Hypohidrosis
D007008	Hypokalemia
D020514	Hypokalemic Periodic Paralysis
D018476	Hypokinesia
D007009	Hypolipoproteinemias
D007010	Hyponatremia
D007011	Hypoparathyroidism
D007012	Hypopharyngeal Neoplasms
D007014	Hypophosphatasia
D017674	Hypophosphatemia
D007015	Hypophosphatemia, Familial
D053098	Hypophosphatemic Rickets, X-Linked Dominant
D017496	Hypopigmentation
D007018	Hypopituitarism
D018636	Hypoplastic Left Heart Syndrome
D007019	Hypoproteinemia
D007020	Hypoprothrombinemias
D007021	Hypospadias
D007022	Hypotension
D007024	Hypotension, Orthostatic
D007027	Hypothalamic Diseases
D007029	Hypothalamic Neoplasms
D007037	Hypothyroidism
D007039	Hypotrichosis
D007040	Hypoventilation
D020896	Hypovolemia
D002534	Hypoxia, Brain
D020925	Hypoxia-Ischemia, Brain
D007046	Hysteria
D007049	Iatrogenic Disease
D016113	Ichthyosiform Erythroderma, Congenital
D007057	Ichthyosis
D016112	Ichthyosis Vulgaris
D017490	Ichthyosis, Lamellar
D016114	Ichthyosis, X-Linked
D054990	Idiopathic Pulmonary Fibrosis
D017098	IgA Deficiency
D017099	IgG Deficiency
D007077	Ileal Diseases
D007078	Ileal Neoplasms
D007079	Ileitis
D045823	Ileus
D017543	Iliac Aneurysm
D058745	Iliotibial Band Syndrome
D007088	Illusions
D007102	Immersion Foot
D007105	Immune Complex Diseases
D054019	Immune Reconstitution Inflammatory Syndrome
D007119	Immunoblastic Lymphadenopathy
D007153	Immunologic Deficiency Syndromes
D007160	Immunoproliferative Disorders
D007161	Immunoproliferative Small Intestinal Disease
D007169	Impetigo
D018783	Impotence, Vasculogenic
D007174	Impulse Control Disorders
D007177	Inappropriate ADH Syndrome
D007184	Incontinentia Pigmenti
D007222	Inert Gas Narcosis
D007228	Infant Nutrition Disorders
D007232	Infant, Newborn, Diseases
D007235	Infant, Premature, Diseases
D057768	Infantile Apparent Life-Threatening Event
D007238	Infarction
D020243	Infarction, Anterior Cerebral Artery
D020244	Infarction, Middle Cerebral Artery
D020762	Infarction, Posterior Cerebral Artery
D007239	Infection
D007241	Infectious Bovine Rhinotracheitis
D007244	Infectious Mononucleosis
D056989	Inferior Wall Myocardial Infarction
D007246	Infertility
D007247	Infertility, Female
D007248	Infertility, Male
D007249	Inflammation
D015212	Inflammatory Bowel Diseases
D058922	Inflammatory Breast Neoplasms
D005585	Influenza in Birds
D007251	Influenza, Human
D015192	Infratentorial Neoplasms
D007299	Insect Bites and Stings
D034062	Insomnia, Fatal Familial
D007331	Insulin Coma
D007333	Insulin Resistance
D007340	Insulinoma
D007383	Intermittent Claudication
D007402	Intertrigo
D055959	Intervertebral Disk Degeneration
D007405	Intervertebral Disk Displacement
D007409	Intestinal Atresia
D007410	Intestinal Diseases
D007411	Intestinal Diseases, Parasitic
D007412	Intestinal Fistula
D007414	Intestinal Neoplasms
D007415	Intestinal Obstruction
D007416	Intestinal Perforation
D044483	Intestinal Polyposis
D007417	Intestinal Polyps
D007418	Intestinal Pseudo-Obstruction
D045822	Intestinal Volvulus
D057072	Intra-Articular Fractures
D002532	Intracranial Aneurysm
D020765	Intracranial Arterial Diseases
D002537	Intracranial Arteriosclerosis
D002538	Intracranial Arteriovenous Malformations
D020766	Intracranial Embolism
D002542	Intracranial Embolism and Thrombosis
D020299	Intracranial Hemorrhage, Hypertensive
D020198	Intracranial Hemorrhage, Traumatic
D020300	Intracranial Hemorrhages
D019586	Intracranial Hypertension
D019585	Intracranial Hypotension
D020767	Intracranial Thrombosis
D007431	Intraoperative Complications
D007443	Intussusception
D055744	Invasive Pulmonary Aspergillosis
D057129	Iridocorneal Endothelial Syndrome
D015863	Iridocyclitis
D007499	Iris Diseases
D015811	Iris Neoplasms
D007500	Iritis
D019189	Iron Metabolism Disorders
D019190	Iron Overload
D043183	Irritable Bowel Syndrome
D020386	Isaacs Syndrome
D007511	Ischemia
D002546	Ischemic Attack, Transient
D018404	Isochromosomes
D056830	Isolated Noncompaction of the Ventricular Myocardium
D021865	Isosporiasis
D054868	Jacobsen Distal 11q Deletion Syndrome
D007565	Jaundice
D007566	Jaundice, Chronic Idiopathic
D007567	Jaundice, Neonatal
D041781	Jaundice, Obstructive
D007569	Jaw Abnormalities
D007570	Jaw Cysts
D007571	Jaw Diseases
D007572	Jaw Fractures
D007573	Jaw Neoplasms
D007575	Jaw, Edentulous
D007576	Jaw, Edentulous, Partially
D007579	Jejunal Diseases
D007580	Jejunal Neoplasms
D029593	Jervell-Lange Nielsen Syndrome
D020179	Jet Lag Syndrome
D007589	Job's Syndrome
D016916	Joint Deformities, Acquired
D007592	Joint Diseases
D007593	Joint Instability
D007594	Joint Loose Bodies
D017436	Kallmann Syndrome
D007617	Kaposi Varicelliform Eruption
D007619	Kartagener Syndrome
D057767	Kashin-Beck Disease
D007625	Kearns-Sayre Syndrome
D007627	Keloid
D007634	Keratitis
D007635	Keratitis, Dendritic
D016849	Keratitis, Herpetic
D007636	Keratoacanthoma
D007637	Keratoconjunctivitis
D007638	Keratoconjunctivitis Sicca
D007639	Keratoconjunctivitis, Infectious
D007640	Keratoconus
D007645	Keratoderma, Palmoplantar
D015776	Keratoderma, Palmoplantar, Diffuse
D007642	Keratosis
D055623	Keratosis, Actinic
D017492	Keratosis, Seborrheic
D007647	Kernicterus
D007662	Ketosis
D007669	Kidney Calculi
D007673	Kidney Cortex Necrosis
D007674	Kidney Diseases
D052177	Kidney Diseases, Cystic
D007676	Kidney Failure, Chronic
D007680	Kidney Neoplasms
D007681	Kidney Papillary Necrosis
D007683	Kidney Tubular Necrosis, Acute
D018285	Klatskin's Tumor
D007710	Klebsiella Infections
D017593	Kleine-Levin Syndrome
D007713	Klinefelter Syndrome
D007714	Klippel-Feil Syndrome
D007715	Klippel-Trenaunay-Weber Syndrome
D020232	Kluver-Bucy Syndrome
D031221	Knee Dislocation
D007718	Knee Injuries
D020915	Korsakoff Syndrome
D007725	Krukenberg Tumor
D007729	Kuru
D007732	Kwashiorkor
D007738	Kyphosis
D044542	LEOPARD Syndrome
D048949	Labor Pain
D007757	Laboratory Infection
D007759	Labyrinth Diseases
D007762	Labyrinthitis
D022125	Lacerations
D007766	Lacrimal Apparatus Diseases
D007767	Lacrimal Duct Obstruction
D007775	Lactation Disorders
D007787	Lactose Intolerance
D020192	Lafora Disease
D015624	Lambert-Eaton Myasthenic Syndrome
D018887	Landau-Kleffner Syndrome
D015826	Langer-Giedion Syndrome
D007805	Language Development Disorders
D007806	Language Disorders
D046150	Laron Syndrome
D007815	Larva Migrans
D007816	Larva Migrans, Visceral
D007818	Laryngeal Diseases
D007819	Laryngeal Edema
D007822	Laryngeal Neoplasms
D007826	Laryngismus
D007827	Laryngitis
D055092	Laryngomalacia
D007829	Laryngostenosis
D007835	Lassa Fever
D055985	Latent Tuberculosis
D014854	Lateral Medullary Syndrome
D020227	Lateral Sinus Thrombosis
D020315	Latex Hypersensitivity
D007842	Lathyrism
D007849	Laurence-Moon Syndrome
D007855	Lead Poisoning
D020263	Lead Poisoning, Nervous System
D020265	Lead Poisoning, Nervous System, Adult
D020264	Lead Poisoning, Nervous System, Childhood
D007859	Learning Disorders
D057130	Leber Congenital Amaurosis
D007863	Lecithin Acyltransferase Deficiency
D007868	Leg Dermatoses
D007869	Leg Injuries
D007870	Leg Length Inequality
D007871	Leg Ulcer
D007873	Legg-Perthes Disease
D007876	Legionellosis
D007877	Legionnaires' Disease
D007888	Leigh Disease
D007889	Leiomyoma
D018230	Leiomyoma, Epithelioid
D018231	Leiomyomatosis
D007890	Leiomyosarcoma
D007896	Leishmaniasis
D016773	Leishmaniasis, Cutaneous
D007897	Leishmaniasis, Mucocutaneous
D007898	Leishmaniasis, Visceral
D057831	Lemierre Syndrome
D007905	Lens Diseases
D007906	Lens Subluxation
D007911	Lentigo
D016180	Lentivirus Infections
D007918	Leprosy
D015439	Leprosy, Borderline
D015440	Leprosy, Lepromatous
D056006	Leprosy, Multibacillary
D015441	Leprosy, Tuberculoid
D007922	Leptospirosis
D007925	Leriche Syndrome
D007926	Lesch-Nyhan Syndrome
D053609	Lethargy
D007938	Leukemia
D007939	Leukemia L1210
D007940	Leukemia L5178
D007941	Leukemia P388
D015448	Leukemia, B-Cell
D015456	Leukemia, Biphenotypic, Acute
D015472	Leukemia, Eosinophilic, Acute
D004915	Leukemia, Erythroblastic, Acute
D007942	Leukemia, Experimental
D016582	Leukemia, Feline
D007943	Leukemia, Hairy Cell
D054066	Leukemia, Large Granular Lymphocytic
D015451	Leukemia, Lymphocytic, Chronic, B-Cell
D007945	Leukemia, Lymphoid
D007946	Leukemia, Mast-Cell
D007947	Leukemia, Megakaryoblastic, Acute
D007948	Leukemia, Monocytic, Acute
D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
D007951	Leukemia, Myeloid
D015470	Leukemia, Myeloid, Acute
D054438	Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative
D015466	Leukemia, Myeloid, Chronic-Phase
D015479	Leukemia, Myelomonocytic, Acute
D015477	Leukemia, Myelomonocytic, Chronic
D054429	Leukemia, Myelomonocytic, Juvenile
D015467	Leukemia, Neutrophilic, Chronic
D007952	Leukemia, Plasma Cell
D015463	Leukemia, Prolymphocytic
D015461	Leukemia, Prolymphocytic, T-Cell
D015473	Leukemia, Promyelocytic, Acute
D007953	Leukemia, Radiation-Induced
D015458	Leukemia, T-Cell
D015459	Leukemia-Lymphoma, Adult T-Cell
D017254	Leukemic Infiltration
D007955	Leukemoid Reaction
D049292	Leukoaraiosis
D007960	Leukocyte Disorders
D018370	Leukocyte-Adhesion Deficiency Syndrome
D007964	Leukocytosis
D007965	Leukodystrophy, Globoid Cell
D007966	Leukodystrophy, Metachromatic
D004684	Leukoencephalitis, Acute Hemorrhagic
D056784	Leukoencephalopathies
D007968	Leukoencephalopathy, Progressive Multifocal
D007969	Leukomalacia, Periventricular
D007970	Leukopenia
D007971	Leukoplakia
D007972	Leukoplakia, Oral
D007973	Leukorrhea
D018921	Leukostasis
D007979	Levocardia
D020961	Lewy Body Disease
D007984	Leydig Cell Tumor
D016864	Li-Fraumeni Syndrome
D010373	Lice Infestations
D017513	Lichen Nitidus
D008010	Lichen Planus
D017676	Lichen Planus, Oral
D018459	Lichen Sclerosus et Atrophicus
D017512	Lichenoid Eruptions
D056929	Liddle Syndrome
D015168	Lightning Injuries
D017880	Limb Deformities, Congenital
D020363	Limbic Encephalitis
D046151	Lingual Thyroid
D008039	Linitis Plastica
D008047	Lip Diseases
D008048	Lip Neoplasms
D052439	Lipid Metabolism Disorders
D008052	Lipid Metabolism, Inborn Errors
D008064	Lipidoses
D008060	Lipodystrophy
D052497	Lipodystrophy, Congenital Generalized
D052496	Lipodystrophy, Familial Partial
D008065	Lipoid Proteinosis of Urbach and Wiethe
D008067	Lipoma
D008068	Lipomatosis
D008069	Lipomatosis, Multiple Symmetrical
D008080	Liposarcoma
D018208	Liposarcoma, Myxoid
D054082	Lissencephaly
D008088	Listeriosis
D020347	Lithiasis
D054068	Livedo Reticularis
D008100	Liver Abscess
D008101	Liver Abscess, Amebic
D046290	Liver Abscess, Pyogenic
D008103	Liver Cirrhosis
D008104	Liver Cirrhosis, Alcoholic
D008105	Liver Cirrhosis, Biliary
D008106	Liver Cirrhosis, Experimental
D008107	Liver Diseases
D008108	Liver Diseases, Alcoholic
D008109	Liver Diseases, Parasitic
D017093	Liver Failure
D017114	Liver Failure, Acute
D008113	Liver Neoplasms
D008114	Liver Neoplasms, Experimental
D008118	Loiasis
D008133	Long QT Syndrome
D008141	Lordosis
D008146	Louping Ill
D017116	Low Back Pain
D057066	Low Tension Glaucoma
D038061	Lower Extremity Deformities, Congenital
D008151	Lown-Ganong-Levine Syndrome
D008158	Ludwig's Angina
D008166	Lumpy Skin Disease
D008169	Lung Abscess
D008171	Lung Diseases
D008172	Lung Diseases, Fungal
D017563	Lung Diseases, Interstitial
D008173	Lung Diseases, Obstructive
D008174	Lung Diseases, Parasitic
D055370	Lung Injury
D008175	Lung Neoplasms
D019568	Lung, Hyperlucent
D008178	Lupus Erythematosus, Cutaneous
D008179	Lupus Erythematosus, Discoid
D008180	Lupus Erythematosus, Systemic
D008181	Lupus Nephritis
D020945	Lupus Vasculitis, Central Nervous System
D008177	Lupus Vulgaris
D008185	Lutembacher Syndrome
D018311	Luteoma
D008193	Lyme Disease
D020852	Lyme Neuroborreliosis
D008199	Lymphadenitis
D008200	Lymphangiectasis
D008201	Lymphangiectasis, Intestinal
D018192	Lymphangioleiomyomatosis
D008202	Lymphangioma
D018191	Lymphangioma, Cystic
D008203	Lymphangiomyoma
D008204	Lymphangiosarcoma
D008205	Lymphangitis
D044148	Lymphatic Abnormalities
D008206	Lymphatic Diseases
D008207	Lymphatic Metastasis
D008209	Lymphedema
D008210	Lymphocele
D008216	Lymphocytic Choriomeningitis
D008218	Lymphocytosis
D008219	Lymphogranuloma Venereum
D051359	Lymphohistiocytosis, Hemophagocytic
D008223	Lymphoma
D016483	Lymphoma, AIDS-Related
D016393	Lymphoma, B-Cell
D018442	Lymphoma, B-Cell, Marginal Zone
D054391	Lymphoma, Extranodal NK-T-Cell
D008224	Lymphoma, Follicular
D016403	Lymphoma, Large B-Cell, Diffuse
D017728	Lymphoma, Large-Cell, Anaplastic
D016400	Lymphoma, Large-Cell, Immunoblastic
D020522	Lymphoma, Mantle-Cell
D008228	Lymphoma, Non-Hodgkin
D054446	Lymphoma, Primary Cutaneous Anaplastic Large Cell
D054685	Lymphoma, Primary Effusion
D016399	Lymphoma, T-Cell
D016410	Lymphoma, T-Cell, Cutaneous
D016411	Lymphoma, T-Cell, Peripheral
D008230	Lymphomatoid Granulomatosis
D017731	Lymphomatoid Papulosis
D008231	Lymphopenia
D008232	Lymphoproliferative Disorders
D016464	Lysosomal Storage Diseases
D020140	Lysosomal Storage Diseases, Nervous System
D017241	MELAS Syndrome
D017243	MERRF Syndrome
D020267	MPTP Poisoning
D017827	Machado-Joseph Disease
D058627	Macrocephaly
D008260	Macroglossia
D055501	Macrophage Activation Syndrome
D008265	Macrostomia
D008268	Macular Degeneration
D008269	Macular Edema
D008275	Magnesium Deficiency
D008286	Malabsorption Syndromes
D008287	Malacoplakia
D008288	Malaria
D008289	Malaria, Avian
D016779	Malaria, Cerebral
D016778	Malaria, Falciparum
D016780	Malaria, Vivax
D054220	Malformations of Cortical Development
D054853	Malignant Atrophic Papulosis
D008303	Malignant Carcinoid Syndrome
D008304	Malignant Catarrh
D008305	Malignant Hyperthermia
D008309	Mallory-Weiss Syndrome
D044342	Malnutrition
D008310	Malocclusion
D008311	Malocclusion, Angle Class I
D008312	Malocclusion, Angle Class II
D008313	Malocclusion, Angle Class III
D015674	Mammary Neoplasms, Animal
D008325	Mammary Neoplasms, Experimental
D008336	Mandibular Diseases
D008337	Mandibular Fractures
D008338	Mandibular Injuries
D008339	Mandibular Neoplasms
D008342	Mandibulofacial Dysostosis
D020149	Manganese Poisoning
D008368	Mansonelliasis
D008375	Maple Syrup Urine Disease
D008379	Marburg Virus Disease
D054319	Marchiafava-Bignami Disease
D008380	Marek Disease
D008382	Marfan Syndrome
D002189	Marijuana Abuse
D008398	Masochism
D047508	Massive Hepatic Necrosis
D012515	Mast-Cell Sarcoma
D008413	Mastitis
D034801	Mastocytoma
D008415	Mastocytosis
D034701	Mastocytosis, Cutaneous
D034721	Mastocytosis, Systemic
D008417	Mastoiditis
D008439	Maxillary Diseases
D008440	Maxillary Fractures
D008441	Maxillary Neoplasms
D008444	Maxillary Sinus Neoplasms
D015523	Maxillary Sinusitis
D019767	Maxillofacial Abnormalities
D008446	Maxillofacial Injuries
D008457	Measles
D008467	Meckel Diverticulum
D008471	Meconium Aspiration Syndrome
D020423	Median Neuropathy
D008476	Mediastinal Cyst
D008477	Mediastinal Diseases
D008478	Mediastinal Emphysema
D008479	Mediastinal Neoplasms
D008480	Mediastinitis
D007691	Medullary Sponge Kidney
D008527	Medulloblastoma
D008531	Megacolon
D008532	Megacolon, Toxic
D008538	Meige Syndrome
D008539	Meigs Syndrome
D008545	Melanoma
D018328	Melanoma, Amelanotic
D008546	Melanoma, Experimental
D008548	Melanosis
D008551	Melena
D008554	Melioidosis
D008556	Melkersson-Rosenthal Syndrome
D008557	Melorheostosis
D008569	Memory Disorders
D008575	Meniere Disease
D055756	Meningeal Carcinomatosis
D008577	Meningeal Neoplasms
D008579	Meningioma
D008580	Meningism
D008581	Meningitis
D008582	Meningitis, Aseptic
D016920	Meningitis, Bacterial
D016919	Meningitis, Cryptococcal
D020814	Meningitis, Escherichia coli
D016921	Meningitis, Fungal
D008583	Meningitis, Haemophilus
D008584	Meningitis, Listeria
D008585	Meningitis, Meningococcal
D008586	Meningitis, Pneumococcal
D008587	Meningitis, Viral
D008588	Meningocele
D008589	Meningococcal Infections
D008590	Meningoencephalitis
D008591	Meningomyelocele
D007706	Menkes Kinky Hair Syndrome
D008594	Menopause, Premature
D008595	Menorrhagia
D008599	Menstruation Disturbances
D008607	Mental Retardation
D038901	Mental Retardation, X-Linked
D008630	Mercury Poisoning
D020262	Mercury Poisoning, Nervous System
D008637	Mesenchymoma
D008639	Mesenteric Cyst
D008640	Mesenteric Lymphadenitis
D008641	Mesenteric Vascular Occlusion
D008644	Mesial Movement of Teeth
D008649	Mesonephroma
D008654	Mesothelioma
D018261	Mesothelioma, Cystic
D008659	Metabolic Diseases
D024821	Metabolic Syndrome X
D008661	Metabolism, Inborn Errors
D008664	Metal Metabolism, Inborn Errors
D008679	Metaplasia
D037061	Metatarsalgia
D008708	Methemoglobinemia
D008796	Metrorrhagia
D054078	Mevalonate Kinase Deficiency
D008831	Microcephaly
D008844	Micrognathism
D048629	Micronuclei, Chromosome-Defective
D008850	Microphthalmos
D055953	Microscopic Polyangiitis
D016881	Microsporidiosis
D008865	Microstomia
D017566	Microvascular Angina
D008878	Middle Lobe Syndrome
D008881	Migraine Disorders
D020325	Migraine with Aura
D020326	Migraine without Aura
D008882	Mikulicz' Disease
D008883	Miliaria
D016269	Milk Hypersensitivity
D018602	Milk Sickness
D019846	Miller Fisher Syndrome
D043204	Mineralocorticoid Excess Syndrome, Apparent
D015877	Miosis
D057792	Mirizzi Syndrome
D008924	Mite Infestations
D028361	Mitochondrial Diseases
D017237	Mitochondrial Encephalomyopathies
D017240	Mitochondrial Myopathies
D008944	Mitral Valve Insufficiency
D008945	Mitral Valve Prolapse
D008946	Mitral Valve Stenosis
D008947	Mixed Connective Tissue Disease
D018198	Mixed Tumor, Malignant
D018199	Mixed Tumor, Mesodermal
D018200	Mixed Tumor, Mullerian
D020331	Mobius Syndrome
D008976	Molluscum Contagiosum
D049328	Mongolian Spot
D045908	Monkeypox
D008998	Monoclonal Gammopathy of Undetermined Significance
D020422	Mononeuropathies
D009006	Monosomy
D009011	Monteggia's Fracture
D019964	Mood Disorders
D045828	Moraxellaceae Infections
D018185	Morbillivirus Infections
D048968	Morning Sickness
D009021	Morphine Dependence
D016472	Motor Neuron Disease
D019957	Motor Skills Disorders
D009056	Mouth Abnormalities
D009058	Mouth Breathing
D009059	Mouth Diseases
D009062	Mouth Neoplasms
D009066	Mouth, Edentulous
D009069	Movement Disorders
D009072	Moyamoya Disease
D017520	Mucinoses
D000507	Mucinosis, Follicular
D009078	Mucocele
D009080	Mucocutaneous Lymph Node Syndrome
D018298	Mucoepidermoid Tumor
D009081	Mucolipidoses
D009083	Mucopolysaccharidoses
D008059	Mucopolysaccharidosis I
D016532	Mucopolysaccharidosis II
D009084	Mucopolysaccharidosis III
D009085	Mucopolysaccharidosis IV
D009087	Mucopolysaccharidosis VI
D016538	Mucopolysaccharidosis VII
D009091	Mucormycosis
D052016	Mucositis
D021782	Multicystic Dysplastic Kidney
D054069	Multiple Acyl Coenzyme A Dehydrogenase Deficiency
D009100	Multiple Carboxylase Deficiency
D018777	Multiple Chemical Sensitivity
D009377	Multiple Endocrine Neoplasia
D018761	Multiple Endocrine Neoplasia Type 1
D018813	Multiple Endocrine Neoplasia Type 2a
D018814	Multiple Endocrine Neoplasia Type 2b
D009101	Multiple Myeloma
D009102	Multiple Organ Failure
D009105	Multiple Personality Disorder
D055613	Multiple Pulmonary Nodules
D009103	Multiple Sclerosis
D020528	Multiple Sclerosis, Chronic Progressive
D020529	Multiple Sclerosis, Relapsing-Remitting
D052517	Multiple Sulfatase Deficiency Disease
D019578	Multiple System Atrophy
D009104	Multiple Trauma
D009107	Mumps
D009110	Munchausen Syndrome
D016183	Murine Acquired Immunodeficiency Syndrome
D009120	Muscle Cramp
D009122	Muscle Hypertonia
D009123	Muscle Hypotonia
D019042	Muscle Neoplasms
D009127	Muscle Rigidity
D009128	Muscle Spasticity
D018908	Muscle Weakness
D009133	Muscular Atrophy
D009134	Muscular Atrophy, Spinal
D009135	Muscular Diseases
D020966	Muscular Disorders, Atrophic
D009136	Muscular Dystrophies
D049288	Muscular Dystrophies, Limb-Girdle
D020388	Muscular Dystrophy, Duchenne
D020389	Muscular Dystrophy, Emery-Dreifuss
D020391	Muscular Dystrophy, Facioscapulohumeral
D039141	Muscular Dystrophy, Oculopharyngeal
D009139	Musculoskeletal Abnormalities
D009145	Mushroom Poisoning
D009155	Mutism
D009157	Myasthenia Gravis
D020720	Myasthenia Gravis, Autoimmune, Experimental
D020941	Myasthenia Gravis, Neonatal
D020294	Myasthenic Syndromes, Congenital
D008271	Mycetoma
D009164	Mycobacterium Infections
D009165	Mycobacterium Infections, Atypical
D015270	Mycobacterium avium-intracellulare Infection
D009175	Mycoplasma Infections
D009180	Mycoplasmatales Infections
D009181	Mycoses
D009182	Mycosis Fungoides
D015651	Mycotoxicosis
D015878	Mydriasis
D017590	Myelinolysis, Central Pontine
D009187	Myelitis
D009188	Myelitis, Transverse
D009190	Myelodysplastic Syndromes
D018209	Myelolipoma
D009196	Myeloproliferative Disorders
D009198	Myiasis
D054084	Myocardial Bridging
D009203	Myocardial Infarction
D017202	Myocardial Ischemia
D015428	Myocardial Reperfusion Injury
D017682	Myocardial Stunning
D009205	Myocarditis
D002527	Myoclonic Cerebellar Dyssynergia
D020191	Myoclonic Epilepsies, Progressive
D020190	Myoclonic Epilepsy, Juvenile
D009207	Myoclonus
D009208	Myoepithelioma
D009209	Myofascial Pain Syndromes
D047708	Myofibroma
D018224	Myofibromatosis
D009212	Myoglobinuria
D020385	Myokymia
D009214	Myoma
D017696	Myopathies, Nemaline
D020914	Myopathies, Structural, Congenital
D020512	Myopathy, Central Core
D009216	Myopia
D047728	Myopia, Degenerative
D009217	Myosarcoma
D009220	Myositis
D009221	Myositis Ossificans
D018979	Myositis, Inclusion Body
D009222	Myotonia
D009224	Myotonia Congenita
D020967	Myotonic Disorders
D009223	Myotonic Dystrophy
D009230	Myxedema
D009232	Myxoma
D009234	Myxomatosis, Infectious
D009236	Myxosarcoma
D009260	Nail Diseases
D009261	Nail-Patella Syndrome
D009263	Nails, Ingrown
D009264	Nails, Malformed
D009290	Narcolepsy
D015508	Nasal Obstruction
D009298	Nasal Polyps
D009302	Nasopharyngeal Diseases
D009303	Nasopharyngeal Neoplasms
D009304	Nasopharyngitis
D015701	Near Drowning
D009332	Necatoriasis
D019838	Neck Injuries
D019547	Neck Pain
D009335	Necrobiosis Lipoidica
D017441	Necrobiotic Disorders
D058252	Necrobiotic Xanthogranuloma
D058568	Necrolytic Migratory Erythema
D009336	Necrosis
D016602	Needlestick Injuries
D016870	Neisseriaceae Infections
D009347	Nelson Syndrome
D009349	Nematode Infections
D058426	Neointima
D009357	Neonatal Abstinence Syndrome
D009361	Neoplasm Invasiveness
D009362	Neoplasm Metastasis
D009364	Neoplasm Recurrence, Local
D009365	Neoplasm Regression, Spontaneous
D018365	Neoplasm, Residual
D018205	Neoplasms, Adipose Tissue
D018294	Neoplasms, Adnexal and Skin Appendage
D018295	Neoplasms, Basal Cell
D018193	Neoplasms, Complex and Mixed
D009372	Neoplasms, Connective Tissue
D018204	Neoplasms, Connective and Soft Tissue
D018297	Neoplasms, Cystic, Mucinous, and Serous
D009374	Neoplasms, Experimental
D018225	Neoplasms, Fibroepithelial
D018218	Neoplasms, Fibrous Tissue
D009373	Neoplasms, Germ Cell and Embryonal
D009375	Neoplasms, Glandular and Epithelial
D018309	Neoplasms, Gonadal Tissue
D009376	Neoplasms, Hormone-Dependent
D018301	Neoplasms, Mesothelial
