DiseaseName	DiseaseID
Lynch Syndrome II	D055847
Lysinuric Protein Intolerance	C562687
Macrocephaly with Multiple Epiphyseal Dysplasia and Distinctive Facies	C564621
Macrocytosis, Familial	C564004
Macrophage Activation Syndrome	D055501
Macrothrombocytopenia progressive deafness	C537831
Macular Degeneration, Age-Related, 11	C567450
Macular Degeneration, Age-Related, 7	C565718
Macular Dystrophy, Retinal, 2	C562746
Majeed syndrome	C537839
Malabsorption Syndromes	D008286
Malignant hyperthermia susceptibility type 5	C535698
Malonic aciduria	C535702
Malpuech facial clefting syndrome	C535704
Mandibuloacral dysplasia with type B lipodystrophy	C535706
Mandibulofacial Dysostosis	D008342
Mandibulofacial dysostosis, Treacher Collins type, autosomal recessive	C535707
Marshall-Smith syndrome	C536026
Martsolf syndrome	C536028
MASA (Mental Retardation, Aphasia, Shuffling Gait, Adducted Thumbs) Syndrome	C536029
Massive Hepatic Necrosis	D047508
Mastocytosis, Cutaneous	D034701
MAST Syndrome	C565409
Maturity-Onset Diabetes of the Young, Type 1	C565101
Maturity-Onset Diabetes of the Young, Type 3	C563933
Maturity-Onset Diabetes of the Young, Type 4	C563451
Maturity-Onset Diabetes of the Young, Type 7	C566466
Maturity-Onset Diabetes Of The Young, Type 9	C567393
Maxillary Neoplasms	D008441
Meckel syndrome type 2	C536131
Meckel Syndrome, Type 5	C566915
Meconium Ileus	D000074270
Mediastinal Neoplasms	D008479
Medium chain acyl CoA dehydrogenase deficiency	C536038
Megacolon	D008531
Megacystis microcolon intestinal hypoperistalsis syndrome	C536138
Megaepiphyseal dwarfism	C536140
Megalencephalic leukoencephalopathy with subcortical cysts	C536141
Megalocytic interstitial nephritis	C536144
Melanoma astrocytoma syndrome	C536149
Melanoma-Pancreatic Cancer Syndrome	C563985
Melanosis	D008548
Melioidosis	D008554
Meningoencephalitis	D008590
Mental Retardation And Microcephaly With Pontine And Cerebellar Hypoplasia	C567466
Mental Retardation, Autosomal Recessive 1	C565406
Mental Retardation, Autosomal Recessive 12	C567019
Mental Retardation, Autosomal Recessive 2	C564404
Mental Retardation, Autosomal Recessive 3	C563929
Mental Retardation, Autosomal Recessive 7	C567016
Mental retardation-hypotonic facies syndrome, x-linked, 1	C537457
Mental Retardation, X-Linked 19	C563141
Mental Retardation, X-Linked 3	C563136
Mental Retardation, X-Linked 58	C564566
Mental Retardation, X-Linked 63	C564522
Mental Retardation, X-Linked 9	C563137
Mental Retardation, X-Linked 93	C567066
Mental Retardation, X-Linked, Syndromic 10	C564560
Mental Retardation, X-Linked, Syndromic 14	C567063
Mental Retardation, X-Linked, Syndromic, Christianson Type	C567484
Mental Retardation, X-Linked, Syndromic, Jarid1c-Related	C564494
Mental retardation, X-linked, with cerebellar hypoplasia and distinctive facial appearance	C537456
Mental Retardation, X-Linked, with Epilepsy	C564516
Mental Retardation, X-Linked, With Or Without Seizures, Arx-Related	C563150
Meretoja syndrome	C537459
Mesangial sclerosis, diffuse	C537346
Metachondromatosis	C562938
Metachromatic Leukodystrophy due to Saposin B Deficiency	C562609
Metaphyseal Chondrodysplasia with Retinitis Pigmentosa	C565398
Methylmalonate Semialdehyde Dehydrogenase Deficiency	C566402
Methylmalonic acidemia with homocystinuria	C537359
Methylmalonic Aciduria and Homocystinuria, CblD Type	C564743
Methylmalonic Aciduria and Homocystinuria, CblF Type	C564747
Methylmalonic aciduria cblA type	C537360
Methylmalonic Aciduria due to Methylmalonyl-CoA Mutase Deficiency	C565390
Methylmalonyl-CoA Epimerase Deficiency	C565386
Microcephalic Osteodysplastic Primordial Dwarfism, Type II	C565898
Microcephaly, Primary Autosomal Recessive, 6	C564247
Microcephaly with Mental Retardation and Digital Anomalies	C567101
Microhydranencephaly	C537555
Microphthalmia, Isolated 3	C567025
Microphthalmia, syndromic 1	C537464
Microphthalmia, syndromic 2	C537465
Microphthalmia, Syndromic 6	C566440
Microphthalmia, syndromic 7	C537466
Microvillus inclusion disease	C537470
Miller-McKusick-Malvaux-Syndrome (3M Syndrome)	C535314
Mitchell-Riley Syndrome	C567570
Mite Infestations	D008924
Mitochondrial complex I deficiency	C537475
Mitochondrial Complex II Deficiency	C565375
Mitochondrial myopathy with lactic acidosis	C537476
Mitochondrial Phosphate Carrier Deficiency	C563665
Mitral Valve Prolapse, Myxomatous 3	C563655
Mixed Tumor, Mullerian	D018200
Molybdenum cofactor deficiency	C535811
Molybdenum Cofactor Deficiency, Complementation Group C	C565374
MORM syndrome	C536984
Mosaic variegated aneuploidy syndrome	C536987
Motor Disorders	D000068079
Mouth Abnormalities	D009056
Mowat-Wilson syndrome	C536990
Moyamoya disease 2	C536992
Mucolipidoses	D009081
Mucolipidosis III Gamma	C565367
Mucopolysaccharidosis I	D008059
Mucopolysaccharidosis II	D016532
Mucopolysaccharidosis III	D009084
Mucopolysaccharidosis IV	D009085
Mucopolysaccharidosis VII	D016538
Muir-Torre Syndrome	D055653
Mulibrey Nanism	D050336
Multiple Acyl Coenzyme A Dehydrogenase Deficiency	D054069
Multiple Endocrine Neoplasia Type 1	D018761
Multiple Mitochondrial Dysfunctions Syndrome	C565304
Multiple Sulfatase Deficiency Disease	D052517
Multiple System Atrophy	D019578
Mungan Syndrome	C548078
Muscle Hypertonia	D009122
Muscle Hypotonia	D009123
Muscular Dystrophies, Limb-Girdle	D049288
Muscular Dystrophy, Congenital, Due To Integrin Alpha-7 Deficiency	C567709
Muscular Dystrophy, Congenital, Lmna-Related	C567708
Muscular Dystrophy, Emery-Dreifuss	D020389
Muscular Dystrophy, Limb-Girdle, Type 1C	C563362
Muscular Dystrophy, Limb-Girdle, Type 1E	C566589
Muscular Dystrophy, Limb-Girdle, Type 2J	C563854
Muscular Dystrophy, Oculopharyngeal	D039141
Myasthenia, Familial Infantile, 1	C565289
Myasthenic Syndrome, Congenital, Fast-Channel	C563832
Myasthenic syndrome, congenital, type Id	C536090
Myasthenic Syndrome, Congenital, with Facial Dysmorphism, associated with Acetylcholine Receptor Deficiency	C563829
Mycobacterium Infections, Nontuberculous	D009165
MYD88 Deficiency	C567379
MYH9-Related Disorders	C535507
Myoclonic dystonia	C536096
Myopathy, Centronuclear, Autosomal Recessive	C562934
Myopathy, Congenital, Compton-North	C567261
Myopathy, Early-Onset, with Fatal Cardiomyopathy	C567129
Myopathy, Mitochondrial Progressive, With Congenital Cataract, Hearing Loss, And Developmental Delay	C567769
Myopathy, Myofibrillar, Desmin-Related	C563319
Myopathy with Abnormal Lipid Metabolism	C562935
Myopathy with lactic acidosis and sideroblastic anemia	C536101
Myopathy with Lactic Acidosis, Hereditary	C564972
Myopathy, X-Linked, with Excessive Autophagy	C564093
Myosclerosis, Autosomal Recessive	C564968
Myositis	D009220
Myositis, Inclusion Body	D018979
Myotonia	D009222
Myotonia Congenita	D009224
Myotonic Disorders	D020967
Myotonic Dystrophy	D009223
N-acetyl glutamate synthetase deficiency	C536109
NADH cytochrome B5 reductase deficiency	C537841
Naegeli syndrome	C538331
Nail Diseases	D009260
Nail-Patella Syndrome	D009261
Narcolepsy 1	C563534
Navajo neurohepatopathy	C538344
NBIA2B	C565699
Nemaline myopathy 1	C538348
Nemaline myopathy 4	C538351
Nemaline myopathy 5	C538397
Nemaline Myopathy 7	C565198
Neonatal-onset citrullinemia type 2	C536398
Neoplasms, Glandular and Epithelial	D009375
Neoplasms, Radiation-Induced	D009381
Nephritis, Hereditary	D009394
Nephroblastomatosis, fetal ascites, macrosomia and Wilms tumor	C536399
Nephrogenic Syndrome of Inappropriate Antidiuresis	C564491
Nephrolithiasis, X-Linked Recessive, with Renal Failure	C562901
Nephronophthisis 3	C565780
Nephronophthisis 4	C564640
Nephrotic syndrome, idiopathic, steroid-resistant	C536404
Neu Laxova syndrome	C536405
Neuraminidase 1 deficiency	C537366
Neuraminidase deficiency with beta-galactosidase deficiency	C536411
Neurilemmoma	D009442
Neurocutaneous melanosis	C537387
Neurodegeneration Due To Cerebral Folate Transport Deficiency	C567791
Neurofibroma	D009455
Neurofibroma, Plexiform	D018318
Neurofibromatoses	D017253
Neurofibromatosis 1	D009456
Neurofibromatosis 2	D016518
Neurofibromatosis, Familial Spinal	C563523
Neurofibromatosis-Noonan syndrome	C537393
Neurofibrosarcoma	D018319
Neurologic Manifestations	D009461
Neuromuscular Diseases	D009468
Neuronal intestinal pseudoobstruction	C537394
Neuronopathy, Distal Hereditary Motor, Type Viib	C564362
Neuropathy, Distal Hereditary Motor, Type IIA	C563561
Neuropathy, hereditary motor and sensory, Okinawa type	C535717
Neuropathy, Hereditary Sensory, with Spastic Paraplegia, Autosomal Recessive	C564948
Neuropathy, Painful	C564945
Neutral Lipid Storage Disease with Myopathy	C565192
Neutropenia, Nonimmune Chronic Idiopathic, Adult	C564320
Neutropenia, Severe Congenital, Autosomal Dominant 2	C567748
Neutropenia, Severe Congenital, Autosomal Recessive 3	C537592
Neutropenia, Severe Congenital, Autosomal Recessive 4	C567260
Neutropenia, Severe Congenital, X-Linked	C564539
Neutrophil Immunodeficiency Syndrome	C564275
Nevi and Melanomas	D018326
Nevus	D009506
Nevus, Epithelioid and Spindle Cell	D018332
Nevus, Pigmented	D009508
Niemann-Pick Diseases	D009542
Niemann-Pick Disease, Type A	D052536
Niemann-Pick Disease, Type B	D052537
Niemann-Pick disease, type C2	C536119
Nijmegen Breakage Syndrome	D049932
Nijmegen Breakage Syndrome-Like Disorder	C567767
Nonsyndromic Deafness	C580334
Noonan Syndrome 2	C548081
Noonan syndrome 3	C537847
Noonan Syndrome 4	C548082
Noonan Syndrome 6	C548084
Nystagmus, Pathologic	D009759
Obesity, Hyperphagia, and Developmental Delay	C563938
Occipital horn syndrome	C537860
Oculocerebrorenal Syndrome	D009800
O'Donnell Pappas syndrome	C537858
Oliver-McFarlane syndrome	C536554
Oncocytoma, renal	C537750
Optic atrophy 1 and deafness	C537124
Optic Atrophy 7	C567833
Optic atrophy and cataract, autosomal dominant	C537128
Optic Atrophy, Autosomal Dominant	D029241
Optic atrophy polyneuropathy deafness	C537129
Optic Nerve Diseases	D009901
Optic Nerve Hypoplasia, Bilateral	C563492
Ornithine Carbamoyltransferase Deficiency Disease	D020163
Orofacial Cleft 1	C566121
Orofacial Cleft 11	C567410
Orofaciodigital Syndromes	D009958
Orofaciodigital syndrome type1	C537134
Oroticaciduria 1	C537136
Osler-rendu-weber syndrome 2	C537139
Osteochondroma	D015831
Osteofibrous Dysplasia	C563276
Osteogenesis Imperfecta, Type IX	C564921
Osteogenesis Imperfecta Type VII	C565200
Osteoglophonic dwarfism	C536050
Osteopathia striata cranial sclerosis	C536053
Osteopetrosis autosomal dominant type 1	C536056
Osteopetrosis, Autosomal Recessive 1	C564915
Osteopetrosis, Autosomal Recessive 4	C566933
Osteopetrosis, Autosomal Recessive 5	C566883
Osteopetrosis, Autosomal Recessive 6	C566931
Osteopetrosis, Autosomal Recessive 7	C567354
Osteoporosis-pseudoglioma syndrome	C536063
Osteosclerosis	D010026
Pachyonychia Congenita	D053549
Pallister-Hall Syndrome	D054975
Pancreatic Agenesis, Congenital	C564908
Pantothenate Kinase-Associated Neurodegeneration	D006211
Papillon-Lefevre Disease	D010214
Paragangliomas 3	C565335
Paralysis, Hyperkalemic Periodic	D020513
Parathyroid Neoplasms	D010282
Parietal Foramina	C566826
Parietal Foramina 2	C566510
Parkinson Disease 11	C564345
Parkinson Disease 13	C565204
Parkinson Disease 7, Autosomal Recessive Early-Onset	C565238
Parkinson Disease, Mitochondrial	C564015
Paroxysmal nonkinesigenic dyskinesia	C537181
Paroxysmal ventricular fibrillation	C537182
Partington X-linked mental retardation syndrome	C536300
Patterned dystrophy of retinal pigment epithelium	C536309
Pediatric Obesity	D063766
Pelger-Huet Anomaly	D010381
Pelizaeus-Merzbacher Disease	D020371
Pemphigus, Benign Familial	D016506
Pentosuria	C536652
Periapical Periodontitis	D010485
Peripheral Arterial Disease	D058729
Peripheral Demyelinating Neuropathy, Central Dysmyelination, Waardenburg Syndrome, and Hirschsprung Disease	C563789
Peroxisomal ACYL-COA oxidase deficiency	C536662
Peroxisomal Disorders	D018901
Perry Syndrome	C566822
Persistent Fetal Circulation Syndrome	D010547
Personality Disorders	D010554
Peters anomaly	C537884
Pfeiffer type acrocephalosyndactyly	C538582
Phencyclidine Abuse	D010623
Phosphoglycerate Dehydrogenase Deficiency	C566618
Phosphoribosylpyrophosphate Synthetase Superactivity	C567064
Phosphoserine Aminotransferase Deficiency	C567032
Pierre Robin syndrome with fetal chondrodysplasia	C535776
Pierson syndrome	C537185
Pigmentation Disorders	D010859
Pigmented Nodular Adrenocortical Disease, Primary, 1	C566469
Pituitary Hormone Deficiency, Combined, 2	C563172
Pityriasis Rubra Pilaris	D010916
Plagiocephaly, Nonsynostotic	D049068
Plasma Cell Granuloma, Pulmonary	D016726
Platelet Disorder, Familial, with Associated Myeloid Malignancy	C563324
Platelet Glycoprotein IV Deficiency	C564245
Pleuropulmonary blastoma	C537516
Pneumococcal Infections	D011008
Pneumothorax	D011030
Poikiloderma of Kindler	C536321
Poliomyelitis	D011051
Polycystic Kidney Disease, Potter Type I, with Microbrachycephaly, Hypertelorism, and Brachymelia	C564881
Polycystic Kidney Diseases	D007690
Polycystic liver disease	C536330
Polydactyly, preaxial 4	C536333
Polyglucosan Body Disease, Adult Form	C564878
Polyhydramnios, Megalencephaly, And Symptomatic Epilepsy	C567020
Polymicrogyria, Bilateral Occipital	C567201
Polymorphic catecholergic ventricular tachycardia	C536334
Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa, And Cataract	C567203
Polyostotic osteolytic dysplasia, hereditary expansile	C536335
Polyposis Syndrome, Hereditary Mixed, 2	C566451
Pontocerebellar Hypoplasia	C580383
Pontocerebellar Hypoplasia Type 1	C548069
Pontocerebellar Hypoplasia Type 2A	C564738
Pontocerebellar Hypoplasia Type 2B	C567325
Pontocerebellar Hypoplasia Type 3	C548072
Popliteal Pterygium Syndrome	C562509
Porokeratosis, disseminated superficial actinic 1	C536339
Porphyria, Acute Hepatic	C562618
Porphyria, Acute Intermittent	D017118
Porphyria, Erythropoietic	D017092
Porphyrias, Hepatic	D017094
Porphyria, Variegate	D046350
Port-Wine Stain	D019339
Potassium aggravated myotonia	C538353
Potocki-Lupski syndrome	C538355
Prader-Willi Syndrome	D011218
Preaxial deficiency, postaxial polydactyly and hypospadias	C538278
Prekallikrein Deficiency	C562725
Premature Ovarian Failure 2b	C564476
Premature Ovarian Failure 7	C567838
Preterm Premature Rupture of the Membranes	C563032
Prickle1-Related Progressive Myoclonic Epilepsy with Ataxia	C580388
Primary hyperoxaluria type 1	C536414
Primrose syndrome	C536420
Prion Diseases	D017096
Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 4	C566437
Progressive Familial Heart Block, Type Ib	C567037
Prolidase Deficiency	D056732
Properdin deficiency, X-linked	C537241
Propionic Acidemia	D056693
Proprotein Convertase 1 3 Deficiency	C563423
Prostate Cancer, Hereditary, 12	C567510
Prostate Cancer, Hereditary, 9	C567031
Protein-Losing Enteropathies	D011504
Proud Syndrome	C563110
Pseudoachondroplasia	C535819
Pseudohyperkalemia, Familial, 2, due to Red Cell Leak	C563785
Pseudohypoaldosteronism, Type IIc	C564162
Pseudomonas Infections	D011552
Pseudovaginal Perineoscrotal Hypospadias	C535830
Pseudoxanthoma Elasticum	D011561
Psychomotor Disorders	D011596
Pulmonary Alveolar Proteinosis	D011649
Pulmonary Eosinophilia	D011657
Pulmonary Veno-Occlusive Disease	D011668
Purine Nucleoside Phosphorylase Deficiency	C562587
Purine-Pyrimidine Metabolism, Inborn Errors	D011686
Pyoderma Gangrenosum	D017511
Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency	C566449
Pyruvate Dehydrogenase Complex Deficiency Disease	D015325
Pyruvate Dehydrogenase E1-Beta Deficiency	C566729
Pyruvate Dehydrogenase E2 Deficiency	C565448
Pyruvate Dehydrogenase E3-Binding Protein Deficiency	C565447
Pyruvate Metabolism, Inborn Errors	D015323
Quadriplegia	D011782
Radioulnar Synostosis with Amegakaryocytic Thrombocytopenia	C565328
Rapadilino syndrome	C535288
Refractive Errors	D012030
Refsum Disease	D012035
Renal cysts and diabetes syndrome	C535520
Renal hepatic pancreatic dysplasia Dandy Walker cyst	C537756
Renal Hypodysplasia, Nonsyndromic, 1	C563661
Renal Tubular Acidosis, Proximal, With Ocular Abnormalities And Mental Retardation	C567038
Renpenning syndrome 1	C537761
Respiratory Distress Syndrome, Newborn	D012127
Reticular dysgenesis	C538361
Reticuloendotheliosis, familial, with eosinophilia	C538564
Retinal Dysplasia	D015792
Retinal Neovascularization	D015861
Retinitis Pigmentosa 11	C563991
Retinitis Pigmentosa 13	C564008
Retinitis Pigmentosa 18	C563320
Retinitis Pigmentosa 2	C567523
Retinitis Pigmentosa 3	C564520
Retinitis Pigmentosa 31	C563685
Retinitis Pigmentosa 33	C563676
Retinitis Pigmentosa 35	C565206
Retinitis Pigmentosa 37	C567005
Retinitis Pigmentosa 41	C567422
Retinitis Pigmentosa 42	C567854
Retinitis Pigmentosa 46	C567249
Retinitis Pigmentosa 9	C566716
Retinitis Pigmentosa, X-Linked, And Sinorespiratory Infections, With Or Without Deafness	C567595
Retrognathia	D063173
Rett Syndrome	D015518
Revesz Debuse syndrome	C538371
Rhabdoid Tumor	D018335
Rhabdoid Tumor Predisposition Syndrome 1	C563738
Rhabdomyosarcoma 1	C537883
Rhabdomyosarcoma, Embryonal	D018233
Rhabdomyosarcoma, Embryonal, 2	C566709
Rhizomelic chondrodysplasia punctata, type 1	C531651
Rhizomelic chondrodysplasia punctata, type 2	C537607
Ribose 5-Phosphate Isomerase Deficiency	C563212
Richieri Costa Pereira syndrome	C535677
Riddle Syndrome	C567453
Right ventricle hypoplasia	C535682
Rigid spine syndrome	C535683
Rippling muscle disease, 1	C535686
Rolandic Epilepsy, Mental Retardation, and Speech Dyspraxia, X-Linked	C564467
Rothmund-Thomson Syndrome	D011038
Rupture, Spontaneous	D012422
Sacral defect and anterior sacral meningocele	C537221
Sarcoma, Alveolar Soft Part	D018234
Sarcoma, Clear Cell	D018227
Sarcoma, Ewing	D012512
Scalp ear nipple syndrome	C536623
Scaphocephaly, Maxillary Retrusion, And Mental Retardation	C566511
Scapuloperoneal Syndrome, Neurogenic, Kaeser Type	C566695
Schimke immunoosseous dysplasia	C536629
Schizophrenia, Paranoid	D012563
Schneckenbecken dysplasia	C536637
Schnitzler Syndrome	D019873
Schwannomatosis	C536641
Scleroderma, Diffuse	D045743
Sclerosis	D012598
Sclerotylosis	C537526
Scoliosis	D012600
Scott Syndrome	C563120
Sebaceous Gland Neoplasms	D012626
Seckel syndrome 1	C537533
Seckel syndrome 2	C537534
Senior-Loken syndrome 4	C537581
SeSAME syndrome	C557674
Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Positive, NK Cell-Negative	C563440
Severe combined immunodeficiency due to adenosine deaminase deficiency	C531816
Severe Combined Immunodeficiency with Microcephaly, Growth Retardation, and Sensitivity to Ionizing Radiation	C566970
Severe combined immunodeficiency with sensitivity to ionizing radiation	C537589
Short chain Acyl CoA dehydrogenase deficiency	C537596
Short Stature, Idiopathic, Autosomal	C565805
Shprintzen Golberg craniosynostosis	C537328
Shwachman-Diamond Syndrome	D000081003
Sialic Acid Storage Disease	D029461
Sick Building Syndrome	D018877
Sick Sinus Syndrome 1, Autosomal Recessive	C563907
Sick Sinus Syndrome 2, Autosomal Dominant	C563513
Siderius X-linked mental retardation syndrome	C537333
Signs and Symptoms	D012816
Simpson-Golabi-Behmel syndrome	C537340
Simpson-Golabi-Behmel Syndrome, Type 2	C564567
Singleton Merten syndrome	C537343
Sinoatrial Block	D012848
Sjogren-Larsson Syndrome	D016111
Sleep Apnea, Obstructive	D020181
Smith-Lemli-Opitz Syndrome	D019082
Smith-Magenis Syndrome	D058496
Solitary Fibrous Tumors	D054364
Somatosensory Disorders	D020886
Sotos Syndrome	D058495
Spasm	D013035
Spastic paraplegia 10, autosomal dominant	C537482
Spastic paraplegia 11, autosomal recessive	C537483
Spastic paraplegia 12, autosomal dominant	C537484
Spastic paraplegia 13, autosomal dominant	C537485
Spastic paraplegia 17	C536644
Spastic Paraplegia 18, Autosomal Recessive	C567628
Spastic paraplegia 23	C536859
Spastic Paraplegia 28, Autosomal Recessive	C563732
Spastic Paraplegia 33, Autosomal Dominant	C565214
Spastic Paraplegia 39, Autosomal Recessive	C567433
Spastic paraplegia 3, autosomal dominant	C536864
Spastic Paraplegia 42, Autosomal Dominant	C567262
Spastic paraplegia 6, autosomal dominant	C536866
Spastic Paraplegia, Optic Atrophy, and Neuropathy	C563702
Spastic Paraplegia Type 8	C580458
Specific Granule Deficiency	C562873
Spherocytosis, Type 1	C567159
Spinal Curvatures	D013121
Spinal Muscular Atrophies of Childhood	D014897
Spinal muscular atrophy 4	C538417
Spinal Muscular Atrophy, Distal, X-Linked 3	C564506
Spinal Muscular Atrophy, Proximal, Adult, Autosomal Dominant	C566672
Spinocerebellar Ataxia 10	C566874
Spinocerebellar Ataxia 11	C565772
Spinocerebellar ataxia 13	C537195
Spinocerebellar ataxia 14	C537196
Spinocerebellar Ataxia 15	C564685
Spinocerebellar ataxia 25	C537202
Spinocerebellar ataxia 26	C537203
Spinocerebellar ataxia 28	C537205
Spinocerebellar Ataxia 29	C537206
Spinocerebellar ataxia, autosomal recessive 1	C537308
Spinocerebellar Ataxia, Autosomal Recessive 2	C565865
Spinocerebellar ataxia, autosomal recessive 4	C537310
Spinocerebellar Ataxia, Autosomal Recessive 7	C563753
Spinocerebellar Ataxia, Autosomal Recessive 8	C565188
Spinocerebellar Ataxia, X-Linked 1	C563134
Spinocerebellar Degenerations	D013132
Spondylocheirodysplasia, Ehlers-Danlos Syndrome-Like	C567340
Spondylocostal dysostosis, autosomal recessive	C535781
Spondyloepimetaphyseal dysplasia, Genevieve type	C535785
Spondyloepimetaphyseal Dysplasia, X-Linked	C564714
Spondylometaphyseal dysplasia, Sedaghatian type	C535798
Spondylometaphyseal Dysplasia with Cone-Rod Dystrophy	C563825
Spongiform Encephalopathy with Neuropsychiatric Features	C564678
Stargardt disease 4	C535521
Steatocystoma Multiplex	D062685
Stereotypic Movement Disorder	D019956
Striatonigral degeneration infantile	C537500
Sturge-Weber Syndrome	D013341
Subcutaneous panniculitis-like T-cell lymphoma	C537503
succinic semialdehyde dehydrogenase deficiency	C535803
Sudden Infant Death with Dysgenesis of the Testes Syndrome	C563856
Sulfite oxidase deficiency	C538141
Surfactant Metabolism Dysfunction, Pulmonary, 3	C567046
Surfactant Metabolism Dysfunction, Pulmonary, 4	C567461
Syndactyly, Type IV	C566092
Systemic carnitine deficiency	C536778
Systemic Vasculitis	D056647
Tay-Sachs Disease	D013661
T cell immunodeficiency primary	C536780
Telangiectasia, Hereditary Hemorrhagic	D013683
Temtamy preaxial brachydactyly syndrome	C536958
Teratogenesis	D064793
Ter Haar syndrome	C537274
Thiopurine S methyltranferase deficiency	C536512
Thoracic Diseases	D013896
Thrombocytopenia 1	C564052
Thrombophilia due to Thrombomodulin Defect	C566057
Thrombophilia, X-Linked, Due To Factor Ix Defect	C567581
Thymic epithelial tumor	C536905
Thyroid cancer, Hurthle cell	C536913
Thyroid Dyshormonogenesis 6	C564608
Tics	D020323
Tight skin contracture syndrome, lethal	C536920
T-Lymphocytopenia, Idiopathic CD4-Positive	D018344
Tn Syndrome	C562719
Toenail Dystrophy, Isolated	C564384
Toe Syndactyly, Telecanthus, and Anogenital and Renal Malformations	C567475
Tomaculous neuropathy	C536965
Tooth Agenesis, Selective, 6	C567755
Torticollis	D014103
Townes-Brocks syndrome	C536974
Tracheoesophageal Fistula	D014138
Transaldolase Deficiency	C563207
Transient bullous dermolysis of the newborn	C536979
Trichothiodystrophy Syndromes	D054463
Trifunctional Protein Deficiency With Myopathy And Neuropathy	C566945
Triosephosphate Isomerase Deficiency	C566029
Trisomy	D014314
Tuberous Sclerosis 1	C565346
Tumoral Calcinosis, Hyperphosphatemic, Familial	C566870
Tumor Lysis Syndrome	D015275
Turcot syndrome	C536928
Tyrosine Kinase 2 Deficiency	C566928
Ulnar-mammary syndrome	C536937
Unverricht-Lundborg Syndrome	D020194
Urocanase deficiency	C536479
Urofacial syndrome	C536480
Urolithiasis	D052878
Usher Syndromes	D052245
Usher syndrome, type 1B	C536485
Usher syndrome, type 1C	C536486
UV-Sensitive Syndrome	C563466
Vaginal Neoplasms	D014625
Van der Woude syndrome	C536528
Vanishing White Matter Leukodystrophy with Ovarian Failure	C565836
Vascular Malformation, Primary Intraosseous	C564648
Vasculopathy, Retinal, With Cerebral Leukodystrophy	C566007
VATER association	C536534
Vesico-Ureteral Reflux	D014718
Vesicular Stomatitis	D054243
Visceral Myopathy, Familial	C562574
Vision Disorders	D014786
Vitamin B 12 Deficiency	D014806
Vitamin E Deficiency	D014811
Vitelliform Macular Dystrophy	D057826
Vitreoretinochoroidopathy	C536352
Vitreoretinopathy, Proliferative	D018630
VLCAD deficiency	C536353
Waardenburg syndrome type 2	C536463
Waardenburg Syndrome, Type 4c	C567679
WAGR Syndrome	D017624
Waldenstrom Macroglobulinemia	D008258
Warburg Sjo Fledelius syndrome	C536681
Water Intoxication	D014869
Weaver syndrome	C536687
Welander distal myopathy, Swedish type	C536690
Werner Syndrome	D014898
Wernicke Encephalopathy	D014899
Weyers acrofacial dysostosis	C536695
WHIM syndrome	C536697
Williams Syndrome	D018980
Winchester syndrome	C536709
Winter Shortland Temple syndrome	C536735
Wiskott-Aldrich Syndrome	D014923
Wolff-Parkinson-White Syndrome	D014927
Wolfram-Like Syndrome, Autosomal Dominant	C565631
Wolfram Syndrome	D014929
Wolfram Syndrome 2	C565733
Woodhouse Sakati syndrome	C536742
Woolly hair, congenital	C536745
Worth syndrome	C536748
Wrinkly skin syndrome	C536750
Xanthinuria, Type II	C566358
Xerocytosis, hereditary	C536764
Xeroderma Pigmentosum	D014983
Xeroderma Pigmentosum, Complementation Group B	C562590
Xeroderma Pigmentosum, Complementation Group C	C567886
Xeroderma Pigmentosum, Complementation Group F	C562592
Xeroderma Pigmentosum, Complementation Group G	C562593
XFE Progeroid Syndrome	C567043
X Inactivation, Familial Skewed, 1	C564716
X-Linked Combined Immunodeficiency Diseases	D053632
Young Simpson syndrome	C536717
Yunis Varon syndrome	C536719
Zika Virus Infection	D000071243
Zimmerman Laband syndrome	C536725
Zlotogora-Ogur syndrome	C536726
Zunich neuroectodermal syndrome	C536729
Thyroid Dyshormonogenesis 4	C562770
Cataract, Congenital Nuclear, Autosomal Recessive 2	C565725
Deafness, Autosomal Recessive 9	C563396
Bile acid synthesis defect, congenital, 2	C535443
Cholesterol Ester Storage Disease	D015217
Corticosteroid-Binding Globulin Deficiency	C565152
Cutis laxa, recessive	C536225
Deafness, Autosomal Recessive 39	C564265
Deafness, Sensorineural, Autosomal-Mitochondrial Type	C565637
Diabetes Mellitus, Insulin-Dependent, 12	C563326
Dimauro disease	C536176
Ehlers-Danlos syndrome type 6	C536198
Glycogen Storage Disease 0, Liver	C565485
Glycogen Storage Disease IXC	C567809
Griscelli syndrome type 2	C537302
Hawkinsinuria	C535845
Hypomagnesemia 2, renal	C537152
Hypomagnesemia primary	C537153
Lesch-Nyhan Syndrome	D007926
Long Qt Syndrome 2	C563614
Lysosomal acid lipase deficiency	C531854
Macular Degeneration, Age-Related, 3	C563838
Magnesium Deficiency	D008275
Mannose-Binding Protein Deficiency	C563602
Meningitis	D008581
Myopathy, Distal 2	C565262
Nevo syndrome	C536113
Niemann-Pick Disease, Type C	D052556
Sarcosinemia	C537236
Tachycardia, Supraventricular	D013617
Waardenburg syndrome, type 4	C536467
Waardenburg Syndrome, Type 4b	C567680
